username,time_posted,title,price,description,status
mobilemartsg,5 months ago,SPIGEN iWatch Stand,29.99,SPIGEN Apple Watch Stand with Night Mode (Pink Sand) for Series 1/2/3/4 - 38mm/40mm/42mm/44mm  Available in Black / Midnight Blue / Pink Sand (Check other Listings)  - Compatible with Apple Watch Nightstand Mode [watchOS 2] - Open dock structure allows easy usability with the Apple Watch and its off,New
thinkingcapitals,4 months ago,🚚 iPhone XS and XS Max Alcantra Phone Cover,24.90,"♠️Preoder Item &amp; some instocks! 🙂 ♥️Price Fixed ♣️Quality assured   ⌛️Pre-order waiting time: 7-10 working days 💵Payment: Bank transfer $14.90 deposit to POSB savings: 249-48398-2! The rest meet up and pay! 🙂  How to order? 🤔 ☝🏻️Make half of the deposit to the POSB account stated above, my personal ",New
akooosigeorge,3 months ago,Apple watch band STRAP only (pink) #EndgameYourExcess,8,"Features &amp; details  100% Genuine Leather Band: Fullmosa Apple watch Band is made of genuine top grade cowhide, which is soft, durable and skin-friendly. Our apple watch band will display exquisite texture and comfortable touch feeling as age goes.For more product options, please visit our store by c",New
thinkingcapitals,3 months ago,🚚 Apple Watch PBC leather strap,39.90,♠️Preoder Item &amp; some instocks! 🙂 ♥️Price Fixed ♣️Quality assured  🌈 Mutiple colours available   ⌛️Pre-order waiting time: 7-10 working days 💵Payment: Bank transfer $19.90 deposit to POSB savings: 249-48398-2! The rest meet up and pay! 🙂  How to order? 🤔 ☝🏻️Make half of the deposit to the POSB accou,New
mac.alive,5 months ago,🚚 Apple Watch Series 4 GPS + Cell,799,1. 40mm Space Grey BNIB sealed from Harvey Norman - Warranty Not registered  - Black Sports Band - GPS with Cellular - Retail at 749  2. 44mm Space Grey unsealed to check - Bought but not used  - Black Sports Loop - GPS with Cellular - Apple Care + with warranty till 7 Nov 20 - Retail at 799 + 138 (,New
wishmonkey,6 months ago,2019 NEW Apple Watch Stainless Steel Strap,25,"🔥NEW IN-STOCK NOW🔥  Description:  Mode: For model Apple watch series 1 2 3 4. 44mm, 42mm 40mm, 38mm  GOLD, ROSE GOLD, SILVER all stocks available   *38mm / 40mm BLACK available  *44mm / 42mm BLACK  SOLD OUT  Color:Stainless Steel - Silver, Black, Rose, Gold  Item type: Replacement watch band  Connec",New
wishmonkey,6 months ago,Apple Watch 4 TPU Protective Casing,8,"🔥STOCK AVAILABLE NOW🔥  Noted: Case only, Watch is not included.   Size: 44mm and 40mm  Colours: Silver | Rose Gold  | Gold | Black 😍  Product Description: 1.This exquisite case is specially designed for All Versions 44mm and 40mm Apple Watch Series 4   2.Electroplated coating is applied on this case",New
lollipopcn,4 months ago,🚚 Leather Band (Red) for Apple Watch 38mm 40mm,39,Leather Band for Apple Watch 38mm 40mm (Red)   Perfect replacement band for your Apple Watch. Handcrafted from soft genuine leather with a unique texture. Luxury look and feel as well as super comfortable and adjustable.    We used our unique soft genuine leather material with stylish finish on this,New
wishmonkey,6 months ago,Apple Watch Series 4 Protective Case,8,"🔥STOCK AVAILABLE NOW🔥  NOTE: Cases Only, Apple Watch and Watch Band are not included!   Colours: 44mm: RED &amp;BLACK 40mm: BLACK | WHITE   ✔️Access to all controls, buttons, sensors and Apple watch feature.  ✔️Soft premium TPU offers a flexible touch-sensitive and full-body protection for both front an",New
icecoldbeer,3 months ago,38/40mm Apple Watch Strap for Series 2/3/4 in Lilac,7.80,Cheap and good quality straps to add color and variety to your Apple Watch!,New
ljustin,5 months ago,Apple Leather Watch Strap 44mm/42mm,15,"Selling a set of brand new genuine leather watch straps, suitable for Apple Watch series 3 (42mm and 38mm) and 4 (44mm and 40mm)  Give your Apple watches a new formal look with these Leather Watch straps. Made of genuine calf leather and available only in black colour.   Length: 12.5cm and 8.8cm, in",New
mobile.solutions,6 months ago,Spigen Apple iWatch 44mm Series 4 Tough Armor Case Authentic,32.90,*Brand new &amp; Original / Authentic Spigen  *Self collect at Hougang Mrt / Shop or top up for postage services  *Price is fixed  *Colour: Rose Gold &amp; Silver  Product Description: The Tough Armor® for the Apple Watch is made for the extreme. Its dual layers are built to withstand even the toughest bump,New
addictsales,4 months ago,Apple watch Stainless steel strap (w Quick size adjustment) Series 1-4 38/40mm 42/44mm,28,Compatible with Apple watch series 1 2 3 4 - 38/40mm 42/44mm  Material:   • Stainless steel • Quick size adjustment • Super durable and high quality band,New
mobile.solutions,6 months ago,Spigen Apple iWatch Series 4 (44mm) Thin Fit Case Authentic,22.90,"*Brand new &amp; Original / Authentic Spigen  *Self collect at Hougang Mrt / Shop or top up for postage services  *Price is fixed  *Colour: Black &amp; Rose Gold  Product Description: The Thin Fit® for the Apple Watch is made for the ultimate minimalist. Simply designed, its smooth finish preserves the clas",New
selling828,6 months ago,INSTOCK: Clear TPU Protective Bumper Case for Apple Watch Series 4 44mm,6,"ONLY $6 Premium Quality Protective Case Bumper CLEAR TPU For Apple Watch Series 4 44mm CHEAP PM for more details.  I can post it, or else you can self collect at Queenstown!",New
godofspeed,3 months ago,Apple Watch Series 4 Nike 40mm,490,"Selling a beloved Apple Watch Series 4 40mm Nike sports edition. Well preserved and always used with screen protector and casing, and selling due to under utilisation. Exterior and interior is of perfect condition without and scratches, dents or flaws whatsoever. Comes with full box inclusive of an ",Used
dazzlingsmack,5 months ago,"2065 EloBeth iWatch Band 44mm 42mm Men, Stainless Steel Band Metal Clasp(Move Links by Hand) + Adapter Compatible with Apple Watch Series 4/Series 3/2/1 (Silver 44/42mm)",30,Compatible Model] Specially designed for your precious Apple Watch (Series 4) 44mm and Apple Watch (Series 3/2/1) 42mm/ Edition / Nike+ / Hermes All models.  [High Quality Material] Crafted from top quality stainless steel (Type 304L) with exquisite craftsmanship and stylish design; easy to slide in,New
antwoo,5 months ago,Selling Brand New Apple Watch Series 4 Milanese Loop Strap 44mm,15,Selling Brand New Apple Watch Series 4 Milanese Loop Strap 44mm. Item will send out by post..NO meeting up..with reg post please add 3.40. ,New
gooddeals89,6 months ago,🚚 Apple Leather Watch Strap Series 1/2/3/4- Brand New,12,"Watch Size: 38mm And 42mm  Red Prints Inspired Watch strap suitable for series 1/2/3/4 High quality synthetic PU leather, delicately crafted to precision.   Comes with 14 days product defect liability warranty from local seller  Delivered directly from Singapore. Not overseas seller PM me for more e",New
pikachuuuuuuuu,5 months ago,Grey Apple Watch Strap for 38mm / 40mm,35,"New unused! No box  Gray sports band  Original, for 38mm or 40mm  Apple Watch series 3, 2, 1, 0 = 38mm Apple Watch series 4 = 40mm compatible   Meetup: Suntec City / City Hall MRT Esplanade MRT Woodlands MRT / Admiralty MRT",New
dgmartonline.com,6 months ago,Free Mailing! Apple Watch Silicone Strap 42mm/44mm - Black (Small),12,📣📣 Can't find what you are looking for? Check our website @ https://dgmartonline.com! 📣📣  Brand New! Apple Watch Replacement Strap for 42mm and 44mm Can fit Apple Watch Series 1/2/3 42mm and Series 4 44mm Size: Small Free normal mail.   Colors Available: - Black - Dark Blue - Gray - White  Please se,New
elitez.electronic.sale,6 months ago,(E942)Simpeak Adjustment Stainless Steel Band Strap for Apple Watch 38mm Series 1 Series 2 Series 3 - Champagne Gold,25,"Features  1.(NOTE: Wide and Heavy for Women!! ) High quality material: Designed for Apple Watch 38mm Series 1(2015),Series 2(2016),Series 3(2017). The band is consists of premium stainless steel which are polished by a number of processes and colored by vacuum plating. Compared to rubber band, this ",New
rivella,6 months ago,Milanese Loop Apple Watch 38/40mm Silver and Gold,20,"Brand new in box stainless steel milanese loop for Apple watch series 3/4.  Strong magnetic closure ensures that your watch is always secure.   Condition: 10/10  Available colors:  Silver - 1 Gold - 1 (Sold)  Possible meetup at City Hall, Bugis, Kallang, Harbourfront and Geylang Bahru MRT stations.",New
mobilemartsg,6 months ago,Dux Ducis iPhone XS/X Skin Series Case,9.99,"Dux Ducis Apple iPhone XS/X Skin Series Premium Phone Case Casing Cover  Designed for iPhone XS/X  Material, Synthetic PU Leather with top-grade hand feeling, soft lining looks and feels like velvet having your glass screen far away from scratches, soft and flexible TPU Silicon hybrid carrier but du",New
lollipopcn,6 months ago,Blueo 3D Tempered Glass Screen Protector,16,Blueo Tempered Glass 3D Screen Protector for Apple Watch for 44mm Series 4   https://youtu.be/7xa_vCtgp1A  - Oleophobic Coating: AF(Anti FingerPrint) coated layer for resistance against smudges and finger prints.  - Surface hardness 9H Glass  - Slim chemical treatment processed tempered glass(Ultra ,New
selling828,6 months ago,"INSTOCK: Apple Watch 3D Curved Full Glue Tempered Glass for Series 1/2/3/4 40mm, 42mm, 44mm",8.90,"Full Glue 3D Curved Tempered Glass For Apple Watch Series 1/2/3/4 40mm, 42 mm, 44mm Premium Quality Cheap Really good for protecting your screen from scratches, dents and cracks. Matches with the watch screen color  I can post it, or you can self collect at Queenstown.",New
1amhonestdeal,5 months ago,IMPACT PROTECTION CASE FOR 44MM APPLE WATCH SERIES 4,59,"This case is built with raised bezels to keep important watch components – the display, optical heartrate sensor, and digital crown – fully exposed yet fully protected from bumps, knocks and drops. This new case features an integrated watch band, creating a total package of protection and style. Wat",New
smartiesathome,4 months ago,Carterjett Woven Nylon NATO Replacement Band for Apple Watch 1-4 (42/44mm)(S/M/L)(Red),38,"Carterjett Woven Nylon NATO Replacement Band for Apple Watch 1-4 (42/44mm) :
 
 •	RUGGED, STYLISH AND VERSATILE; Perfect for sports and outdoors, activity tracking or as a fashion accessory; Get premium quality at a fraction of the cost with an original Carterjett Red Nylon iwatch replacement strap.",New
welcomehomecasing,4 months ago,🚚 Instock JANSIN ™ New Stainelss steel Apple Iwatch Strap,30,"The superior quality durable replacement metal stainless steel Link Bracelet watch bands for Apple watch Series 1, Series 2/3/4 Sport and Edition. Easy to adjust the links without any tools, smooth surface of the band and is comfortable to wear. Costly double electroplating process instead of genera",New
essentialbasics,4 months ago,"INSTOCK iWatch Silicone Strap For Apple watch series 1/2/3/4, 38/40/42/44mm Strap",14,✔HIGH QUALITY SILICONE MATERIAL ✔INSTOCKS ✔6 colors to choose from! ✔Black/Lavender/Red/Dark Blue/White/Grey  Strap length: 20cm  Dimensions: 38mm/40mm/42mm/44mm ⌚Able to fit Apple watches series 1-3 38/42mm. ⌚Able to fit Apple watches series 4 40/44mm.  Chat with me to buy now!  📩Registered Mail +$,New
mmlsm,5 months ago,Apple watch cover,7,"Apple watch series 4, 40mm, magnetic cover.  Selling at $7 only. No nego.  Self collection at choa chu kang community club.",New
uugalaxyyy,6 months ago,AppleWatch series 4 with GPS + cellular available,740,Apple Watch series 4 brand new in box. 40mm with gps and cellular.  Only serious buyer no Low ballers.   No lowering of price I won’t entertain you. Dad bought for me as present but I am satisfied with my series 3.   Comes with one year warranty and receipt if you need.   Brand new plastic not yet o,New
cedric.poh,6 months ago,Belkin PowerHouse Charge Dock for IPhone + Apple Watch,150,"Used Belkin PowerHouse Charging Dock.  Fully functional, cosmetic condition 8.5/10  Was charging IPhone X and apple Watch Series 4 with this. No longer using apple, so selling off.",Used
fredaoz,6 months ago,🚚  Apple Watch 42/44mm Midnight Blue Leather Loop - Medium,180,"📋APPLE RETAIL PRICE IS SGD229.00. I rarely use it.  No box packaging.  Designed for Apple Watch Series 4. Works with all previous versions of Apple Watch.  📌OVERVIEW The Venezia leather for this strap is handcrafted in Arzignano, Italy. With an artisan heritage spanning five generations, the tannery",Used
gadget_galore,5 months ago,Apple watch strip stainless steel,25,Apple watch band for series 1/2/3 (38/42mm) stainless steel strip wrist band replacement  1. Top quality of stainless steel with stylish superior craftsmanship; features luxury; nobility; elegance &amp; durability.  2. Personalize your apple iwatch with this refined strap compared to apple ones. 3. Band,New
welcomehomecasing,6 months ago,Instock AoTo Apple Iwatch Series 4 rugged case strap,25,"By Aoto - JANSIN. This Apple Watch Case is tough when it comes to protecting your timepiece from bumps, drops, and scrapes, but it still manages to feel great while it is on your wrist. That is all because this case is constructed from a combination of polycarbonate and soft polyurethane materials t",New
lridescent,6 months ago,Apple Watch Series 4 40mm Plastic Screen Protector,2,$2 per screen protector Have 3 left. ,New
selling828,6 months ago,INSTOCK: Rock Hydrogel Screen Protector For Apple Watch,6.50,"Premium Quality Rock Hydrogel Screen Protector For Apple Watch Series 4 44mm I can post it, or do meet up at Queenstown. PM for more details.",New
essentialbasics,6 months ago,INSTOCK Silicone Sporty Strap for Apple Watches iWatch series 1/2/3/4,14,✔HIGH QUALITY SILICONE MATERIAL ✔INSTOCKS ✔3 colors to choose from! ✔Black/Lavender/Red  Strap length: 20cm  Dimensions: 38mm/40mm ⌚Able to fit Apple watches series 1-3 38mm. ⌚Able to fit Apple watches series 4 40mm.  Chat with me to buy now!  📩Registered Mail +$4 📩Normal Mail +$2  Meetups: Bukit Ba,New
wuu007,6 months ago,Apple Watch Full Cover Case,10,Direct Fitting Without Need to Remove Your Band !  Hassle Free Plug and Remove within Sec  Apple Watch Series 4 Case for 40mm or 44mm  Apple does NOT cover screen damage so it is best to buy full coverage protector instead of Edge Defender,New
cheapcheapclearance,6 months ago,Apple watch series 4,650,Brand new in box Only open once to see Space grey aluminium case 40mm,New
lridescent,6 months ago,Apple Watch Series 4 40mm Case/Protector,4,Used less than a day  Bought another case,Used
borneorockstar,6 months ago,Iwatch apple watch leather strap,35,"Brand new  Available for 38mm/40mm/42mm/44mm Material: Leather Compatibility: Apple Iwatch Series 1/2/3/4 Color: Indigo, Craie with orange Stainless steel watch buckle   IMPORTANT NOTE:  38mm and 40mm are compatible✔️ 42mm and 44mm are compatible✔️  Simple installation  👉Other strap types available ",New
selling828,6 months ago,FULL TPU for Apple Watch Series 4 44mm,6,"Full Screen Coverage Protector Bumper TPU for Apple Watch Series 4 44mm Premium quality  I can post, or you can collect at my convenience",New
essentialbasics,6 months ago,INSTOCK Nylon Strap for iWatch Apple series 1/2/3/4,18,✔HIGH QUALITY NYLON MATERIAL ✔INSTOCKS ✔3 colors to choose from! ✔Black/Grey/Red  Strap length: 20cm  Dimensions: 38mm/40mm ⌚Able to fit Apple watches series 1-3 38mm. ⌚Able to fit Apple watches series 4 40mm.  Chat with me to buy now!  📩Registered Mail +$4 📩Normal Mail +$2  Meetups: Bukit Batok MRT,New
selling828,6 months ago,Apple Watch Series 4 Bumper,7,Protective Bumper Case For Apple Watch Series 4 44mm TPU Premium quality,New
phone99,6 months ago,Apple Watch Hermès with Indigo/Craie/Orange Swift Leather Double Tour Strap,40,Apple Watch Hermès like Double Tour Band for Sale(42/44mm)  New  RTS: Doesn’t fit my wrist   Original come with stainless steel connector Not black one  Black one + $5  Original price S$60  Price Fixed  Really good Quality   #Apple Watch Series 4 #Apple Watch #44mm Apple Watch,New
ljustin,5 months ago,Red Leather Loop Band for Apple Watch,29,"Red Leather Loop Band for Apple Watch  Generic, not branded Apple.  Black Leather Loop Strap for Apple Watch, works for Apple Watch Strap series 1/2/3, 42mm or series 4, 44mm  Dropped by the Apple Store last week to check out the original retailer by Apple. Difference in quality is indiscernible. Ju",New
addictsales,4 months ago,Apple watch sports strap (Series 1-4) 38/40mm 42/44mm,14,"Features:   Compatible with Apple watch Series 1-4  Material: High-performance fluoroelastomer, the band is durable and strong, yet surprisingly soft.  For sports  ***Item doesn't come with the watch",New
currentsense,6 months ago,Brand New In Package Olive Flak Nylon Sports Loop for Apple Watch Series 4 (44MM) / Series 3/2/1 (42MM),20,Brand New In Pack Olive Flak Nylon Sports Loop for Apple Watch Series 4 (44MM) Series 3/2/1 (42MM),New
jef_nkf,6 months ago,For Apple 44mm S4 Series 4 Black Nylon Watch Band,29,"Hey there!   Before hitting the Offer button, do review the below to avoid unnecessary disputes.   If they don’t seem comfortable to you, please do not offer. Thanks for looking, have a great day!   Item Description:   Brand New, Black Nylon Strap for 44mm series - OEM quality. Why pay $79? Get it f",New
activstyle.sg,4 months ago,For Apple Watch Rubber Replacement Strap Sport,10,"Classy and sporty straps for your Apple Watch Series 1, 2, 3, 4 compatible 38mm 40mm 42mm 44mm  Made of durable silicone rubber.  10sgd each Get any 2 for 15 sgd  Available colors Solid Gray Sports Gray Sports Black",New
elitez.electronic.sale,5 months ago,Simpeak Adjustment Stainless Steel Band Strap for Apple Watch 38mm Series 1 Series 2 Series 3 - Champagne Gold(E942),25,"Features   1.(NOTE: Wide and Heavy for Women!! ) High quality material: Designed for Apple Watch 38mm Series 1(2015),Series 2(2016),Series 3(2017). The band is consists of premium stainless steel which are polished by a number of processes and colored by vacuum plating. Compared to rubber band, this",New
fredaoz,6 months ago,🚚  Apple Watch 42/44mm Nectarine Sport Band - S/M & M/L,65,"📋APPLE RETAIL PRICE IS SGD79.00. I rarely use it.  No box packaging.  Designed for Apple Watch Series 4. Works with all previous versions of Apple Watch.  📌OVERVIEW Made from a custom high-performance fluoroelastomer, the Sport Band is durable and strong, yet surprisingly soft. The smooth, dense mat",Used
sjv123,6 months ago,Apple Watch series 4 44mm pink sand sport loop,59,Brand new and original apple product Apple series 4 44mm size Pink Sand Sport Loop Available in company pack Self collection from Fernvale Road Sengkang or will Mail to your address after full payment ,New
awatchauthority,6 months ago,Replacement Strap for Apple Watch - Good for series 1 series 2 series 3 series 4,15, Brand NEW - Third Party - Good for series 1 / series 2/ series 3/ series 4 Replacement Strap / band for Apple Watch - Lavender   Check out photos for exact measurement 38mm / 40mm - Available 42mm / 44mm - Available  Check out my other cool listings! - silicone rubber straps  -Leather Straps  - vel,New
smartiesathome,6 months ago,LK LiquidSkin Screen Protector for Apple Watch 40mm / 44mm (Series 4)(6 Pack),28,"LK LiquidSkin Screen Protector for Apple Watch 44mm (Series 4)(6 Pack):   • Unique Adhesive: the liquid skin can be washed, reused, reapplied. wet-install method ensures easy, bubble-free and frustration free installation that will leave the film perfectly contoured to any device. • Optically Transp",New
techguy.sg,3 months ago,Apple Watch Bands 2-for-$14 Series 4/3/2/1,14," 😍2 for $14   😍 Aftermarket Apple Watch Bands / Straps  👍🏻 Your choice of color subject to availability  ✅ Compatible with all Apple Series 1/2/3/4  ✅ Have for all watch sizes 38mm/40mm &amp; 42mm/44mm  📏 These are Large band / strap sizes  🤝 On-hand ready to deal  💁🏻‍♂️ When contacting, please identify",New
zactan97,5 months ago,Apple Watch Series 4 Pink Rubber Strap 42MM,9,Apple Watch Series 4 Pink Silicon Strap 42MM  Price: $9  Good quality and has a special coating to prevent clouding of the rubber and wear and tear marks.  Fitting is fine as well.   All are brand new and sold as Low as possible.   Who says you can’t find a good strap at a lower price.   Issues with,New
dnse,6 months ago,Apple watch series 4 40mm,900,Bought in Dec 2018. No scratches Comes with milanese loop,Used
causeshesdead,6 months ago,Original Apple 5W USB power adaptor (folding pins),25,✨Brand new in wrapping Apple 5W USB adaptor with folding pins   ✨Great for travellers!!   ✨$25 no nego. Retail price is at $42   ✨$25 is also cheaper than the standard Apple USB 5W adaptor (non folding)  ✨Meet ups at Tampines east.            Tags authentic original Apple head plug cable iPhone X Xs,New
ron_diaz,4 months ago,apple watch series 4,690,brand new apple watch 690.,New
sithuscott,6 months ago,Apple Watch Magnet Case 40mm,8,- Apple watch series 4 Magnetic casing for 40mm - Silver ,New
brommyfan,5 months ago,Apple Watch 4,18,Spigen Apple Watch series 4 (44mm) liquid crystal case.   BNIB,New
welcomehomecasing,6 months ago,#JANSIN Apple Iwatch Case - Clear Case Iwatch,10,"Officially JANSIN Instock APPLE IWATCH CASE 360 PROTECTED 360 Degree Protector: the Full Coverage Screen Protector cover the full front and curved edges of your watch,offer full protection for your watch to against scratches,drop and bump.  Model Series 1 2 3 4 available 38mm 40mm 42mm 44mm  Please ",New
valueaudio,6 months ago,[ORIGINAL] APPLE 5W USB Power Adapter for iPhone/ iPad/ iPod,10,"Original/ Authentic: YES Brand: APPLE Condition: BRAND NEW IN BOX  Featuring an ultra-compact design, this power adapter offers fast, efficient charging at home, in the office or on the go. It works with any Apple Watch, iPhone or iPod model.  Important note:  This USB Power Adapter has fixed prongs",New
yeet1,6 months ago,Wts Apple Watch 42mm Series 0 7000,130,Wts Apple Watch Black Series 0 7000 for 130$  Selling cheap because there are scratches and marks on the back  Meet up at Harbourfront mrt ***Have Original Apple Cable but charges really slowly*** ,Used
wishmonkey,6 months ago,Apple Watch Protective Case For Series 4,8,"🔥STOCK AVAILABLE NOW🔥  Price Original: $15  Noted: Case only, Watch is not included.   Size: 44mm and 40mm  Colours: Silver | Rose Gold  | Gold | Black 😍  We will arrange for meet ups and mailing.   Product Description: 1.This exquisite case is specially designed for All Versions 44mm and 40mm Apple",New
sgalibaba2018,4 months ago,"2292 Charging Stand for Apple Watch Series 4, Oittm [5 in 1 New Version] 5-port USB Rechargeable Stand for iWatch Series 4/3/2/1, iPhone Xs, Xs Max, Xr, X, 8, 8 Plus, 7,6,iPad Mini,Apple Penci (Space Gray)",38,"Charge with Confidence]: The iPhone charging cable and apple watch magnetic cable is not included. Limiting current for each port and the wide woltage, which can smart detect to prevent your devices against over-current, overheating and short circuit, no longer worry about damaging your iWatch/iPhon",New
welcomehomecasing,6 months ago,🚚 New Jansin Apple Iwatch Case - Series 4 Case Series 1 2 3 Case,10,"Officially JANSIN Instock APPLE IWATCH CASE 360 PROTECTED 360 Degree Protector: the Full Coverage Screen Protector cover the full front and curved edges of your watch,offer full protection for your watch to against scratches,drop and bump.  Model Series 1 2 3 4 available 38mm 40mm 42mm 44mm  Please ",New
ljustin,5 months ago,Blue leather Band for Apple Watch,29,"Generic, not branded Apple.  Black Leather Loop Strap for Apple Watch, works for Apple Watch Strap series 1/2/3, 42mm or series 4, 44mm  Dropped by the Apple Store last week to check out the original retailer by Apple. Difference in quality is indiscernible. Just that my price is a mere fraction 😂. ",New
wishmonkey,6 months ago,Apple Watch Silicone Strap for Series 1 2 3 4,12,"🔥STOCK AVAILABLE NOW🔥  Price original: $20  Silicone Soft Strap / Band for Apple Watch Series 4 3 2 1  Available Colours | Size: Red | Black 44mm, 42mm, 40mm, 38mm White | Black 44mm, 42mm and 40mm, 38mm  Pink | White 40mm, 38mm  Features: 1. Designed as replacement strap for apple watch, simpless i",New
welcomehomecasing,6 months ago,New Jansin Apple Iwatch Case - Series 4 Case Series 1 2 3 Case,10,"Officially JANSIN Instock APPLE IWATCH CASE 360 PROTECTED 360 Degree Protector: the Full Coverage Screen Protector cover the full front and curved edges of your watch,offer full protection for your watch to against scratches,drop and bump.  Model Series 1 2 3 4 available 38mm 40mm 42mm 44mm  Please ",New
welcomehomecasing,6 months ago,Aoto JANSIN Apple Iwatch Series 4 Strap with Rugged Case,18,"By Aoto - JANSIN. This Apple Watch Case is tough when it comes to protecting your timepiece from bumps, drops, and scrapes, but it still manages to feel great while it is on your wrist. That is all because this case is constructed from a combination of polycarbonate and soft polyurethane materials t",New
kriszhang127,5 months ago,Apple watch strap 44mm,25, Apple Watch 44mm Milanese Strap  Brand New Good quality  Strong magnet hold   Fit for Apple Watch Series 1 2 3 4,New
niaastira,6 months ago,44mm Pink Sand Sport Band (Apple watch),60,Bought with the series 4 Apple Watch but it comes with this strap but I didn’t want this colour. Bought another strap for $79.00 so I’m only selling this for $60. New and untouched. ,New
fredaoz,6 months ago, Apple Watch 42/44mm Dark Brown Sport Band - S/M & M/L,65,"📋APPLE RETAIL PRICE IS SGD79.00. I rarely use it.  No box packaging.  Designed for Apple Watch Series 4. Works with all previous versions of Apple Watch.  📌OVERVIEW Made from a custom high-performance fluoroelastomer, the Sport Band is durable and strong, yet surprisingly soft. The smooth, dense mat",Used
thecheriechua,6 months ago,Apple Watch Series 4 Milanese Strap (Silver),16,1 x Brand new Milanese Apple Watch Series 4 (40mm) straps.,New
maggical.luv,6 months ago,Apple Watch Series 4,"1,200",Apple watch series 4 space gray black sport band.  No scratches perfect condition comes with full box and accessories.  Hermes authentic strap included.  Retail SGD$649 Hermes strap retail SGD$700 ( bought in uk)  Delivery included,Used
petiteham13,6 months ago,"🚚 Apple Watch Brown Leather Strap 38/40mm New, Sealed",48,"Handcrafted / Handmade, Apple Watch Leather Brown Strap as shown above. Selling as my Friend bought extras from Australia during his trip for us. This Apple Watch strap is sealed and will work from Apple Watch Series 1 to 4, 38 or 40mm.   Please message me for interest. Thanks.   PS: Apple Watch not",New
jasonwanklin,6 months ago,ECG Apple Watch Series 4 GPS Nike + (ECG Activated),800,"USA Apple Watch Series 4 GPS Nike + Edition 44MM with working ECG functionality, all extras included with purchase.  Serial No. FHLXT3HTKDHC  Apple Watch Nike+ S4 (GPS)  -Fully Functioning ECG (Electrocardiogram) -44MM Large Watch Case -Platinum Nike+ Straps (S and M/L Sizes) -Magnetic Charging Cabl",Used
little_rookie,5 months ago,🚚 Apple Watch series 4  ( 42-44mm ）,12,Brand: Apple Watch strap,New
otterbox.dealer,6 months ago,"Catalyst Sport Band for 42/44mm Apple Watch Series 1, 2, 3, 4",69.90,"SPORT BAND FOR 42MM APPLE WATCH Compatible with Series 1, 2, 3 and new Series 4  The Catalyst Sport Band for Apple Watch combines distinctive styling with performance features for the Apple Watch. The band is built with a triangular truss pattern that creates maximum breath-ability and this is also ",New
phonecare4u,6 months ago,🚚 Full Cove Ultra Thin Crystal Clear Case for Apple Watch 4,10,"This case with screen protector is design to offer external surface protection to your Apple Watch. Soft clear case with built in screen protector. Prevents your Apple Watch from scratches.   Special design, Made by premium TPU material. 360 degree overall protective case for Apple Watch screen as w",New
mobile.solutions,6 months ago,Spigen Apple iWatch Series 4 (44mm) Ruuged Armor Case,24.90,"*Brand new &amp; Original / Authentic Spigen  *Self collect at Hougang Mrt / Shop or top up for postage services  *Price is fixed  *Colour: Black, Rose Gold &amp; White  Product Descriptions: The Rugged Armor adds daily durability with a polished look to the Apple Watch. Built to defend against bumps and br",New
spigen_singapore,6 months ago,Spigen Apple Watch 4 Case Thin Fit (44mm / 40mm),22.90,Spigen Official Store 🛒 Shop Official Store:  goo.gl/VYJgqC Lazada: goo.gl/eXQX73 Qoo10: goo.gl/Fcfp9c Shopee: goo.gl/xAGTxH  Product Detail: - Precisely designed for Apple Watch Series 4 - Everyday scratch defense with polycarbonate exterior - Form-fitted design adds no bulk to the device - Full ac,New
mobile.solutions,6 months ago,Spigen Apple iWatch Series 4 (40MM) Thin Fit Case,22.90,"*Brand new &amp; Original / Authentic Spigen  *Self collect at Hougang Mrt / Shop or top up for postage services  *Price is fixed  *Colour: Black &amp; Rose Gold  Product Descriptions: The Thin Fit® for the Apple Watch is made for the ultimate minimalist. Simply designed, its smooth finish preserves the cla",New
nexuswii,4 months ago,Bullstrap Genuine Leather Strap ( Apple Watch Series 4 ),88,Others,Used
selling828,4 months ago,INSTOCK: Silver Milanese Loop Strap for Apple Watch - 38mm/40mm & 42mm/44mm (Metal/Magnetic Clasp),19.90,"Milanese Loop Magnetic Clasp Metal Strap For Apple Watch Series 1/2/3/4 38mm/40mm &amp; 42mm/44mm Premium quality Color - Silver Can do mailing or meet ups at Queenstown, city side Note: Once purchased no refunds or return.  ",New
mobile.solutions,6 months ago,Spigen Apple iWatch Series 4 (44mm) Ruuged Armor Case,24.90,"*Brand new &amp; Original / Authentic Spigen  *Self collect at Hougang Mrt / Shop or top up for postage services  *Price is fixed  *Colour: Black  Product Descriptions: The Rugged Armor adds daily durability with a polished look to the Apple Watch. Built to defend against bumps and bruises, the raised e",New
mobile.solutions,6 months ago,Spigen Apple iWatch Series 4 (40MM) Thin Fit Case,22.90,"*Brand new &amp; Original / Authentic Spigen  *Self collect at Hougang Mrt / Shop or top up for postage services  *Price is fixed  *Colour: Rose Gold &amp; Black  Product Descriptions: The Thin Fit® for the Apple Watch is made for the ultimate minimalist. Simply designed, its smooth finish preserves the cla",New
mobile.solutions,6 months ago,Spigen Apple iWatch Series 4 (40MM) Rugged Armor Case,24.90,"*Brand new &amp; Original / Authentic Spigen  *Self collect at Hougang Mrt / Shop or top up for postage services  *Price is fixed  *Colour: Black, White &amp; Rose Gold  Product Description: The Rugged Armor® adds daily durability with a polished look to the Apple Watch. Built to defend against bumps and br",New
